"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Jimmy Butler","Mia","F","33.6","1","42.9","34.3","9.9","8","0.625","26","0.577","1","0","0.556","0.573","35","5","11","3","0","3","40","46","51","11.6","117.2","103.8"
"2","Kawhi Leonard","Lac","F","31.8","2","40.2","30","11.9","17","0.882","34","0.529","10","0.6","0.614","0.67","34.5","6.5","6","2","0.5","3","41","40.5","47","11","129.5","110.4"
"3","Khris Middleton","Mil","F","31.7","1","33.1","37.5","19.8","10","0.7","13","0.769","7","0.286","0.65","0.676","33","9","4","0","0","5","42","37","46","12.8","115.5","111.9"
"4","Devin Booker","Pho","G","26.5","2","44.1","28.8","16.2","14","0.857","31","0.645","10","0.4","0.634","0.679","32","1","6","2.5","1.5","4","33","38","39","5.2","121.9","111"
"5","De'Aaron Fox","Sac","G","25.3","2","38.2","31.6","9","14","0.714","32","0.531","18","0.333","0.52","0.552","31","3","7","3.5","0.5","2.5","34","38","41","9.1","112.6","108.8"
"6","Jaren Jackson Jr.","Mem","F-C","23.6","1","37.1","27.9","4.5","3","1","17","0.647","4","0.5","0.667","0.694","31","5","4","1","2","1","36","35","40","9.2","139.6","109"
"7","Stephen Curry","Gol","G","35.1","2","39.1","29.7","19.5","10","0.9","14","0.786","27","0.333","0.598","0.639","29","4.5","4","0","0.5","5","33.5","33","37.5","8.2","106.7","115"
"8","Rui Hachimura","Lal","F","25.2","1","29.8","22.2","6.5","2","1","8","0.75","6","0.833","0.964","0.974","29","6","1","0","0","1","35","30","36","7.5","166.2","110.2"
"9","Donovan Mitchell","Cle","G","26.6","2","41.3","27.3","8.8","10","0.7","20","0.6","21","0.381","0.585","0.606","27.5","3.5","10.5","2.5","1","2","31","38","41.5","9.7","130.1","107.8"
"10","Jayson Tatum","Bos","F-G","25.1","2","39.8","28.6","11.7","2","1","29","0.483","16","0.5","0.578","0.588","27","10.5","4","0.5","0.5","3","37.5","31","41.5","10.5","105.6","108.4"
"11","Dejounte Murray","Atl","G","26.6","2","38","29","7.5","4","1","30","0.467","19","0.368","0.5","0.522","26.5","7","6","3.5","0","2","33.5","32.5","39.5","10.9","111.7","113.4"
"12","Kevin Durant","Pho","F","34.6","2","44.5","24.3","14.8","16","0.938","23","0.609","11","0.273","0.544","0.634","26","7.5","8","1","2","3","33.5","34","41.5","10.4","127.1","110.3"
"13","Mikal Bridges","Bro","F","26.6","2","37.8","29.4","15.2","13","0.846","21","0.667","12","0.333","0.606","0.659","25.5","5","4","0.5","0.5","3","30.5","29.5","34.5","8.5","117.6","117.1"
"14","Malik Monk","Sac","G","25.2","2","30.1","25.5","9.5","18","0.944","17","0.529","11","0.455","0.589","0.696","25","4.5","2.5","0","0.5","1.5","29.5","27.5","32","8.7","137.6","112.7"
"15","Derrick White","Bos","G","28.8","2","36.2","23","14.5","9","0.889","17","0.706","12","0.5","0.724","0.758","25","6","4.5","0.5","2.5","2.5","31","29.5","35.5","9.7","135.3","112.2"
"16","Darius Garland","Cle","G","23.2","2","39.8","25.9","22.9","14","0.786","16","0.438","14","0.571","0.633","0.678","24.5","1.5","4","2","0.5","4.5","26","28.5","30","5.3","112.1","108.9"
"17","Jamal Murray","Den","G","26.2","1","33.2","31.8","4.3","2","1","12","0.417","10","0.4","0.5","0.524","24","8","8","0","1","1","32","32","40","13.9","117.7","106.7"
"18","Jaylen Brown","Bos","G-F","26.5","2","36.5","30","21.1","7","0.714","27","0.556","10","0.4","0.568","0.586","23.5","7.5","2.5","2","1","5","31","26","33.5","8.3","98.2","108.7"
"19","Jalen Brunson","Nyk","G","26.6","2","32.9","32.7","6.8","14","0.929","29","0.483","12","0.167","0.415","0.498","23.5","3.5","4","3","0","1.5","27","27.5","31","8.4","110.7","109"
"20","Joel Embiid","Phi","C-F","29.1","2","35","28.8","27.4","19","1","21","0.571","5","0.2","0.519","0.669","23","12","5","1","2.5","5","35","28","40","12.7","117.7","104.8"
"21","Cameron Johnson","Bro","F","27.1","2","34.1","24.7","9","2","0.5","13","0.692","17","0.529","0.75","0.745","23","4","1.5","1","0.5","1.5","27","24.5","28.5","6.1","127.9","110.7"
"22","Tyrese Maxey","Phi","G","22.5","2","36.5","21.3","0","7","0.714","13","0.538","18","0.5","0.661","0.675","23","4.5","1.5","1.5","0.5","0","27.5","24.5","29","5.9","136.2","110.8"
"23","Austin Reaves","Lal","G","24.9","1","30.6","20.1","0","4","1","8","0.625","5","0.6","0.731","0.779","23","3","4","1","1","0","26","27","30","8.5","165.4","114.5"
"24","Bam Adebayo","Mia","C-F","25.8","1","32.7","32.7","21.5","3","0.667","18","0.556","0","0","0.556","0.569","22","9","7","2","0","5","31","29","38","13.6","101.4","97.6"
"25","Desmond Bane","Mem","G","24.8","1","36.6","26.8","5.1","7","1","8","0.375","10","0.3","0.417","0.522","22","5","6","0","0","1","27","28","33","9.5","121.2","103.8"
"26","Anthony Davis","Lal","F-C","30.1","1","36.5","23.9","14.7","2","1","17","0.588","0","0","0.588","0.615","22","12","3","3","7","3","34","25","37","10.1","115.9","107.8"
"27","LeBron James","Lal","F","38.3","1","34","27.9","23.6","4","0.5","8","0.625","8","0.375","0.594","0.591","21","11","5","2","3","5","32","26","37","12.3","101.3","107.9"
"28","Bobby Portis","Mil","F","28.2","1","26.7","25.8","0","3","1","10","0.9","5","0","0.6","0.643","21","8","0","0","0","0","29","21","29","0","128","96.7"
"29","Klay Thompson","Gol","G","33.2","2","37.4","20.1","8.5","2","1","8","0.625","24","0.417","0.625","0.639","21","5.5","4","1","0","1.5","26.5","25","30.5","8.3","122.1","113.2"
"30","Tobias Harris","Phi","F","30.8","2","30.8","22.4","3.4","3","1","22","0.591","6","0.667","0.679","0.699","20.5","8","3","0.5","0.5","0.5","28.5","23.5","31.5","10.3","147.6","108.4"
